My Neighbor Totoro, 1988, 134, 69262, 67720, 136982
On the Waterfront, 1954, 135, 72495, 71197, 143692
Room, 2015, 136, 71093, 67349, 138442
Ran, 1985, 137, 71508, 66955, 138463
The Gold Rush, 1925, 138, 66603, 73854, 140457
The Bridge on the River Kwai, 1957, 139, 68282, 66682, 134964
Inception, 2010, 14, 72540, 74224, 146764
The Secret in Their Eyes, 2009, 140, 69153, 73163, 142316
Mr. Smith Goes to Washington, 1939, 141, 70628, 66202, 136830
Blade Runner, 1982, 142, 71033, 72562, 143595
The Seventh Seal, 1957, 143, 73977, 68522, 142499
Howl's Moving Castle, 2004, 144, 73541, 67259, 140800
Lock Stock and Two Smoking Barrels, 1998, 145, 65964, 71483, 137447
Munna Bhai M.B.B.S., 2003, 146, 73365, 69138, 142503
Casino, 1995, 147, 67952, 71204, 139156
Judgment at Nuremberg, 1961, 148, 68320, 71665, 139985
Rang De Basanti, 2006, 149, 70310, 70508, 140818
The Lord of the Rings: The Two Towers, 2002, 15, 69557, 68281, 137838
Wild Strawberries, 1957, 150, 67046, 70860, 137906
The Elephant Man, 1980, 151, 72496, 69021, 141517
A Beautiful Mind, 2001, 152, 67496, 66287, 133783
The General, 1926, 153, 69492, 66414, 135906
Sholay, 1975, 154, 66143, 70975, 137118
Warrior, 2011, 155, 68012, 68232, 136244
Incendies, 2010, 156, 68030, 72110, 140140
V for Vendetta, 2005, 157, 70210, 69164, 139374
The Wolf of Wall Street, 2013, 158, 70917, 69014, 139931
The Passion of Joan of Arc, 1928, 159, 65703, 71881, 137584
One Flew Over the Cuckoo's Nest, 1975, 16, 69260, 69688, 138948
Sunrise, 1927, 160, 71818, 65981, 137799
Gran Torino, 2008, 161, 71249, 71607, 142856
The Big Lebowski, 1998, 162, 70432, 68608, 139040
Tokyo Story, 1953, 163, 68343, 66591, 134934
Dial M for Murder, 1954, 164, 65160, 67345, 132505
The Deer Hunter, 1978, 165, 69812, 70761, 140573
Trainspotting, 1996, 166, 66279, 70068, 136347
Gone with the Wind, 1939, 167, 64797, 69961, 134758
Fargo, 1996, 168, 70195, 64887, 135082
Finding Nemo, 2003, 169, 65880, 70029, 135909
Goodfellas, 1990, 17, 69241, 66914, 136155
Rebecca, 1940, 170, 66347, 68118, 134465
Cool Hand Luke, 1967, 171, 69786, 63931, 133717
The Sixth Sense, 1999, 172, 69324, 65921, 135245
The Thing, 1982, 173, 67785, 65690, 133475
How to Train Your Dragon, 2010, 174, 63360, 68161, 131521
No Country for Old Men, 2007, 175, 65133, 64163, 129296
Star Wars: The Force Awakens, 2015, 176, 64504, 64763, 129267
Into the Wild, 2007, 177, 68519, 64812, 133331
Kill Bill: Vol. 1, 2003, 178, 63708, 69277, 132985
Mary and Max, 2009, 179, 66378, 66590, 132968
The Matrix, 1999, 18, 63611, 64198, 127809
Gone Girl, 2014, 180, 63692, 66686, 130378
There Will Be Blood, 2007, 181, 66945, 62839, 129784
It Happened One Night, 1934, 182, 64549, 65221, 129770
Come and See, 1985, 183, 66292, 67497, 133789
Life of Brian, 1979, 184, 67525, 66952, 134477
Rush, 2013, 185, 66567, 67262, 133829
Hotel Rwanda, 2004, 186, 65467, 63445, 128912
Platoon, 1986, 187, 68000, 67476, 135476
The Message, 1976, 188, 64448, 67210, 131658
Shutter Island, 2010, 189, 64929, 65502, 130431
Seven Samurai, 1954, 19, 66256, 64256, 130512
The Nights of Cabiria, 1957, 190, 63060, 65846, 128906
The Wages of Fear, 1953, 191, 67359, 62280, 129639
Network, 1976, 192, 64207, 63477, 127684
Spotlight, 2015, 193, 64753, 63085, 127838
In the Name of the Father, 1993, 194, 65576, 63336, 128912
Stand by Me, 1986, 195, 64889, 62902, 127791
Butch Cassidy and the Sundance Kid, 1969, 196, 63188, 62773, 125961
The Maltese Falcon, 1941, 197, 66484, 62298, 128782
Mad Max: Fury Road, 2015, 198, 63355, 62829, 126184
The 400 Blows, 1959, 199, 65760, 65437, 131197
The Godfather, 1972, 2, 65129, 65470, 130599
Star Wars: Episode IV - A New Hope, 1977, 20, 64641, 64091, 128732
Wild Tales, 2014, 200, 64197, 66370, 130567
12 Years a Slave, 2013, 201, 63787, 63311, 127098
Persona, 1966, 202, 63322, 62221, 125543
Ben-Hur, 1959, 203, 63567, 65553, 129120
The Grand Budapest Hotel, 2014, 204, 62435, 63344, 125779
Million Dollar Baby, 2004, 205, 63004, 60742, 123746
Amores Perros, 2000, 206, 65569, 63864, 129433
Udaan, 2010, 207, 65060, 60533, 125593
The Princess Bride, 1987, 208, 62645, 64785, 127430
Jurassic Park, 1993, 209, 64237, 62309, 126546
City of God, 2002, 21, 62302, 63292, 125594
Hachi: A Dog's Tale, 2009, 210, 64401, 61056, 125457
Nausicaä of the Valley of the Wind, 1984, 211, 60616, 63761, 124377
Stalker, 1979, 212, 60494, 62225, 122719
Memories of Murder, 2003, 213, 62686, 62469, 125155
Touch of Evil, 1958, 214, 62869, 61305, 124174
The Grapes of Wrath, 1940, 215, 64387, 63754, 128141
The Truman Show, 1998, 216, 63340, 64275, 127615
Annie Hall, 1977, 217, 64234, 61647, 125881
Before Sunrise, 1995, 218, 61730, 60584, 122314
Chak de! India, 2007, 219, 63242, 60842, 124084
Se7en, 1995, 22, 59374, 61907, 121281
Zootopia, 2016, 220, 60257, 60087, 120344
Gandhi, 1982, 221, 63497, 62663, 126160
The Bourne Ultimatum, 2007, 222, 63271, 62992, 126263
Diabolique, 1955, 223, 60660, 60598, 121258
Rocky, 1976, 224, 60975, 59151, 120126
Donnie Darko, 2001, 225, 59421, 59141, 118562
Harry Potter and the Deathly Hallows: Part 2, 2011, 226, 60180, 61505, 121685
8½, 1963, 227, 61008, 60549, 121557
Monsters, Inc., 2001, 228, 59445, 62844, 122289
The Wizard of Oz, 1939, 229, 60112, 61939, 122051
The Silence of the Lambs, 1991, 23, 61347, 59730, 121077
The Terminator, 1984, 230, 60564, 59567, 120131
Groundhog Day, 1993, 231, 58541, 59720, 118261
Prisoners, 2013, 232, 61257, 59683, 120940
Twelve Monkeys, 1995, 233, 61693, 60670, 122363
Jaws, 1975, 234, 58034, 60899, 118933
Catch Me If You Can, 2002, 235, 60905, 60530, 121435
Barry Lyndon, 1975, 236, 59362, 61499, 120861
La Haine, 1995, 237, 58323, 59339, 117662
Infernal Affairs, 2002, 238, 57907, 57897, 115804
The Best Years of Our Lives, 1946, 239, 59759, 58751, 118510
It's a Wonderful Life, 1946, 24, 61214, 58933, 120147
Strangers on a Train, 1951, 240, 59398, 57530, 116928
Sin City, 2005, 241, 59670, 57621, 117291
The Battle of Algiers, 1966, 242, 59827, 59253, 119080
Dog Day Afternoon, 1975, 243, 59478, 59997, 119475
Kind Hearts and Coronets, 1949, 244, 58121, 57877, 115998
Pirates of the Caribbean: The Curse of the Black Pearl, 2003, 245, 59391, 59083, 118474
The Help, 2011, 246, 59063, 59834, 118897
The Imitation Game, 2014, 247, 59249, 57421, 116670
Ip Man, 2008, 248, 59403, 59000, 118403
Gangs of Wasseypur, 2012, 249, 58131, 60127, 118258
The Usual Suspects, 1995, 25, 57280, 58157, 115437
Song of the Sea, 2014, 250, 58001, 56849, 114850
The Fifth Element, 1997, 251, 58530, 58683, 117213
Life Is Beautiful, 1997, 26, 56585, 58504, 115089
Leon: The Professional, 1994, 27, 56341, 58735, 115076
Spirited Away, 2001, 28, 58681, 58510, 117191
Saving Private Ryan, 1998, 29, 56212, 56382, 112594
The Godfather: Part II, 1974, 3, 58897, 57641, 116538
Once Upon a Time in the West, 1968, 30, 56390, 57403, 113793
American History X, 1998, 31, 57167, 56133, 113300
Interstellar, 2014, 32, 55968, 57915, 113883
Casablanca, 1942, 33, 58187, 57515, 115702
Psycho, 1960, 34, 57729, 55766, 113495
City Lights, 1931, 35, 57483, 57667, 115150
Raiders of the Lost Ark, 1981, 36, 58025, 58464, 116489
The Green Mile, 1999, 37, 55774, 57340, 113114
The Intouchables, 2011, 38, 56982, 57842, 114824
Modern Times, 1936, 39, 56294, 55583, 111877
The Dark Knight, 2008, 4, 56875, 55167, 112042
Rear Window, 1954, 40, 56433, 57763, 114196
Terminator 2: Judgment Day, 1991, 41, 56636, 56640, 113276
The Pianist, 2002, 42, 55697, 54935, 110632
The Departed, 2006, 43, 55968, 57025, 112993
Back to the Future, 1985, 44, 56314, 54920, 111234
Whiplash, 2014, 45, 55928, 57179, 113107
Gladiator, 2000, 46, 56353, 55225, 111578
Memento, 2000, 47, 55130, 55050, 110180
Apocalypse Now, 1979, 48, 56163, 54502, 110665
The Prestige, 2006, 49, 56024, 54380, 110404
12 Angry Men, 1957, 5, 56259, 55136, 111395
The Lion King, 1994, 50, 55504, 54562, 110066
Alien, 1979, 51, 55570, 54278, 109848
Dr. Strangelove, 1964, 52, 55032, 55317, 110349
Sunset Boulevard, 1950, 53, 55137, 55919, 111056
The Great Dictator, 1940, 54, 54564, 55773, 110337
The Lives of Others, 2006, 55, 55093, 54180, 109273
Cinema Paradiso, 1988, 56, 53867, 54780, 108647
Paths of Glory, 1957, 57, 54297, 54614, 108911
Django Unchained, 2012, 58, 54446, 53575, 108021
The Shining, 1980, 59, 54972, 54936, 109908
Schindler's List, 1993, 6, 54777, 54249, 109026
Grave of the Fireflies, 1988, 60, 53956, 54868, 108824
WALL·E, 2008, 61, 54698, 53429, 108127
The Dark Knight Rises, 2012, 62, 54369, 53760, 108129
American Beauty, 1999, 63, 54566, 53897, 108463
Princess Mononoke, 1997, 64, 53877, 53489, 107366
Aliens, 1986, 65, 53961, 53344, 107305
Oldboy, 2003, 66, 53778, 53047, 106825
Once Upon a Time in America, 1984, 67, 52904, 53983, 106887
Citizen Kane, 1941, 68, 52899, 54046, 106945
Das Boot, 1981, 69, 53892, 53348, 107240
Pulp Fiction, 1994, 7, 53384, 53598, 106982
Witness for the Prosecution, 1957, 70, 52872, 52525, 105397
North by Northwest, 1959, 71, 53441, 52889, 106330
Vertigo, 1958, 72, 53203, 52984, 106187
Star Wars: Episode VI - Return of the Jedi, 1983, 73, 53269, 52291, 105560
M, 1931, 74, 52375, 52259, 104634
Reservoir Dogs, 1992, 75, 52263, 53028, 105291
Braveheart, 1995, 76, 52855, 52656, 105511
Amélie, 2001, 77, 52080, 52154, 104234
Requiem for a Dream, 2000, 78, 52398, 52008, 104406
My Father and My Son, 2005, 79, 52291, 52828, 105119
The Lord of the Rings: The Return of the King, 2003, 8, 51998, 52026, 104024
A Clockwork Orange, 1971, 80, 51672, 51914, 103586
Like Stars on Earth, 2007, 81, 52034, 52367, 104401
Taxi Driver, 1976, 82, 51623, 51637, 103260
Lawrence of Arabia, 1962, 83, 51526, 51549, 103075
Double Indemnity, 1944, 84, 51840, 51654, 103494
To Kill a Mockingbird, 1962, 85, 51682, 51610, 103292
Toy Story 3, 2010, 86, 51344, 51336, 102680
Eternal Sunshine of the Spotless Mind, 2004, 87, 51209, 51158, 102367
Amadeus, 1984, 88, 51348, 51079, 102427
Full Metal Jacket, 1987, 89, 51067, 50925, 101992
The Good the Bad and the Ugly, 1966, 9, 50882, 51018, 101900
The Sting, 1973, 90, 51022, 50946, 101968
Hacksaw Ridge, 2016, 91, 50954, 51201, 102155
2001: A Space Odyssey, 1968, 92, 50762, 51005, 101767
Arrival, 2016, 93, 50588, 50870, 101458
Bicycle Thieves, 1948, 94, 50527, 50353, 100880
Toy Story, 1995, 95, 50817, 51100, 101917
Snatch, 2000, 96, 51052, 50860, 101912
Singin' in the Rain, 1952, 97, 51167, 50780, 101947
Inglourious Basterds, 2009, 98, 51281, 51233, 102514
The Kid, 1921, 99, 55151, 54543, 109694
Independence Day, 2001, 252, 48001, 47072, 95073
The Martian, 2018, 253, 47690, 46893, 94583
Ironman, 2012, 256, 44123, 45100, 89223
Ironman II, 2014, 257, 44123, 45089, 89212
Ironman III, 2016, 258, 44123, 45076, 89199
Frozen II, 2019, 259, 39145, 50032, 89175
